year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
1960,142.84874880480433,417.817717228178,269.57978398206006,134.02824646171598,2939.448335107312,82.93776265586104,121.30578378247944
1961,143.50461199208152,438.84569084826245,278.02290912017986,136.98464893020667,2991.592896554059,86.66506792005966,123.983184022419
1962,144.36970519027375,473.46248877366077,401.7018251886502,131.9262167492927,3155.097537789648,90.55811840957736,131.05938434232428
1963,157.24665166915105,517.1052871849263,398.53652631167256,144.25789885437203,3283.141453013875,99.69059661701779,146.28311263096816
1964,176.21159472997405,565.4570293758835,430.0610183675143,154.9641196076281,3480.4269445668733,111.67223696978853,140.18685602976842
1965,191.98813299566763,608.9870662031605,455.4163878529023,215.48953152236328,3729.969703606999,117.32244692423451,152.25828913974846
1966,209.03754959683508,672.2747910573287,488.4461418745146,221.48387514665217,4044.247215257327,96.48869637624959,160.3919551659083
1967,225.64625481002173,717.3800609565251,485.70071255806414,230.04670742747453,4231.867350831079,103.80403286174497,156.4627790940894
1968,242.49119678396883,743.8905287007485,508.25398520894544,302.0205337983111,4579.982259923773,106.37415903815698,163.3005924301644
1969,272.1358758802069,815.8460659125305,553.8571919598581,325.11673251197004,4912.487594517718,114.32492218575493,181.75922076978884
1970,307.40776220477596,1158.1784636658158,609.2809485747636,318.03285194318744,5129.091843961853,120.99295581940822,208.27359181320978
1971,338.01971250998366,1296.3167678083933,663.2586146022619,366.2475853574691,5504.8158184363765,125.8059812525587,207.08983574375856
1972,409.77927200663254,1540.4142608149987,728.294718867492,431.81471073779824,5997.485631757797,123.62913239925565,226.7761425028043
1973,527.7083949478741,1941.0732678554743,946.0161588841491,568.8690156552133,6640.805987823044,138.14438998267659,282.15799021988016
1974,593.7605623054089,2176.9232944517694,1198.971087075468,1033.3935723263905,7206.816796680037,163.54362718081558,356.1661888200118
1975,637.8517639987793,2525.2566864133028,1228.6558129993894,1203.584020802361,7773.084689449943,171.0351379315528,381.7235534540654
1976,688.4570062174209,2605.9102404245327,1316.9893425973123,1478.5813039162713,8613.028989245957,163.06999246625517,402.4276546998469
1977,808.0661934139858,2933.392928891262,1414.530362522748,1669.7998272778796,9400.4658374197,184.43145588759708,429.6022824841262
1978,1004.739129793225,3556.185540434832,1568.2355910666356,1730.3312969931437,10424.529083988396,204.94884951062772,460.9889792586048
1979,1072.09157647798,4321.301051237923,1819.723941579032,2202.61081983072,11515.456023807254,224.1692886422478,537.4791327330382
