Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,59.773233703214800,59.86089999238290,58.45800869831390,78.70642877767530,82.09530653405170,101.10832516375800,137.59429796111500,160.89843416130400,129.10831096500600,129.3297603641990,156.51877134870700,159.56750899625800,135.31722798159200,143.14464950008000,173.65362474202600,186.51083834644700,197.44550755114500,224.22500156611600,247.35408780641800,275.7381153772320,272.6555102006860,264.11119714433600,,,,,,,,,,,,,,,,,,,,,179.42657921139400,190.6838142950880,211.38207419893900,242.03131317502100,263.73360186627400,359.6931578661090,364.66354204230200,437.26874023514000,543.3065261782810,591.190030208566,638.8458516072880,624.3154545066140,614.2233423603910,556.0072208614430,512.0127781293560,516.6798622105440,485.668418729809,494.1793498860290,516.7478708075590,
Africa Eastern and Southern,162.72632545509900,162.55596758787200,172.27102221707100,199.78491583575500,180.2287741162400,199.51722752513700,211.05438835274700,213.63659869217400,226.6213202721600,252.56863529888300,263.49903728783500,282.57492580377500,297.0717413985340,375.45627055133700,451.0346882982130,466.6217712134660,450.65258883821000,496.7305419932160,538.0692564581430,610.0895644209990,750.7693470007040,745.0576650436440,694.0535855240960,704.8988952707820,626.6736851773600,517.922885407221,562.6941822869030,666.7441266244990,709.991727225506,734.8665060577370,831.2020193240190,872.3913056454210,739.3036501020780,714.0099487940100,705.4472647749880,771.2599801329820,747.7671031498740,765.890061418887,703.028888937666,675.7398762683600,713.1778996041890,633.5484786494540,631.8101820543920,819.665920062036,993.668106328171,1129.701204254360,1236.9941134666600,1382.737441675470,1442.0310117273300,1425.3071682636000,1659.654922146570,1810.2291644467000,1777.3039500500900,1748.9055935618000,1736.2422195885,1556.316469496660,1446.5336241503000,1629.4042728761900,1541.0316612628900,1511.3092587472200,1360.8786447688200,1557.7226817454100
Africa Western and Central,107.93072167079200,113.08006188914800,118.82946064933500,123.44108946414400,131.85242274725500,138.52402903734900,144.32388180046600,128.57895699243000,129.64109253232800,143.7156166462610,195.4335437774310,169.11908307666800,200.1683855015330,241.7114050677590,333.1924586660270,377.78800692765100,444.37437424906900,454.79011867260800,482.4774365960520,584.3739263876090,718.6917964041520,1316.9315119830400,1136.4624106984800,815.9007356922040,656.7127692871380,651.5099724994140,584.9072795830070,584.1192733974470,561.3614685474110,510.4191121416940,594.7257168311990,558.4357663760600,547.6629473067350,445.65604515478100,378.9403765471000,462.86479767590700,523.7634171851340,515.2345409240240,513.6424637681470,528.5806067034670,525.4588960639250,539.33873511367,627.7904855578020,706.9639810356660,854.5145724151730,1016.4864375988800,1252.6223038046100,1430.839107281740,1707.4384335853000,1486.711024959470,1687.5885255528300,1862.3651073950900,1965.1157500006300,2157.4945836876000,2212.914094523720,1894.322115184660,1673.8436809607400,1613.490478142500,1704.1356984431800,1777.8528224727600,1709.7641292386100,1774.9212180302700
Albania,,,,,,,,,,,,,,,,,,,,,,,,,639.4847358482100,639.8659094457330,693.8734746338870,674.7933830694920,652.7743213965660,697.9955965765200,617.2304355155050,336.58699450463000,200.85221977232300,367.27922507758100,586.4163396442630,750.6044491788250,1009.9772748382100,717.3800477456750,813.7893965804480,1033.2425316241800,1126.6833401071700,1281.6598256178,1425.1242186014200,1846.120120812070,2373.5812917005500,2673.786584295590,2972.7429239979900,3595.038056828930,4370.539924776900,4114.134899163420,4094.3483857449400,4437.142612226860,4247.630047481950,4413.06200528902,4578.63320812155,3952.8025380752900,4124.055389862730,4531.019373768910,5287.663694469150,5396.215864347310,5332.160474568450,6494.385712885810
Algeria,246.30375131947200,214.77198010089000,172.24250895718200,226.89545012827000,238.04371039420000,249.88358560700900,235.59813008212900,253.92376552105800,281.9257862911330,302.75226367362100,336.224692876265,341.3889184762200,442.67762346528200,554.2929089619250,818.0082288759540,936.7900821760990,1037.6071598989300,1192.7442268348900,1456.4193959721500,1782.6993197552400,2203.055461069770,2237.0867762862700,2210.3020356695800,2312.6556194825100,2467.3460818789900,2582.8790134427300,2756.9549811889300,2807.503603211030,2417.376188922520,2215.9638731835700,2408.8229852320700,1731.6213697312600,1776.0282780527000,1807.2974509064300,1507.8866626901700,1452.278434295320,1603.940302201900,1619.7977486502900,1596.0039257404200,1588.3489076722100,1765.0271461160100,1740.6066542766200,1781.8289079839400,2103.3812910693900,2610.185422434880,3113.094883137440,3478.710002375670,3950.512993124710,4923.631615411790,3883.270900435850,4480.78631766464,5455.679403497490,5592.220114657520,5499.587331053340,5493.056694536860,4177.8895415168900,3946.452447125370,4109.698216957270,4142.018558429180,3989.668276452350,3306.858208381040,3765.03462494701
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8666.655381959140,8807.46281200101,8528.248776891630,8395.318770253710,8340.523439746910,8874.877927596070,9740.824491215860,11910.013233348000,10216.817630696800,10223.29835889160,11496.524097792300,11450.724195487900,11525.156387230900,12059.635164677600,12038.249699492300,11003.829764280700,11521.609779845300,11715.360138848700,12844.900990995900,
Andorra,,,,,,,,,,,3238.690260972040,3496.532022966700,4218.271599184860,5342.168560442090,6320.809631685720,7169.101005595570,7151.249909405990,7751.843307413560,9127.81227979623,11818.473342703300,12378.784511133800,10372.786050001000,9610.020615709110,8025.207640540360,7728.9066945694300,7775.614216916350,10361.14776517370,12615.126176914300,14304.640595474200,15165.281255173200,18878.85231306430,19534.26363015370,20549.805575169500,16515.6583953923,16235.068037723900,18458.17399299950,19016.288187729300,18355.62786043210,18895.110661321000,19262.308991040700,21854.246803061300,22970.512213361800,25067.240063913200,32272.845890987700,37966.18725243950,40064.22492921970,42674.75896810920,47804.84993402110,48719.658769903600,43504.21565232010,40849.7612766795,43333.973041479600,38684.5665299215,39538.355206440400,41302.38214261810,35770.91865300250,37474.74584036190,38964.66201436110,41793.31883653780,40898.41790639040,37416.697720327400,43047.68627040330
Angola,,,,,,,,,,,,,,,,,,,,,710.9815629192400,642.3814788909790,619.9599033622440,623.4400472729550,637.7150980407770,758.2378806353910,685.2697533233380,756.2620652667410,792.303048639681,890.553592231726,947.7042620775150,865.6927295923940,656.3620152406560,441.2008419714440,328.6731486713860,397.17947925090700,522.6436983865890,514.2951540585470,423.5936878105110,387.784267167756,556.8361822353500,527.3335285366910,872.4944417912740,982.9609818888220,1255.5642382218400,1902.4221497593700,2599.565947930670,3121.9960852808100,4080.9410152954900,3122.781743330890,3497.9744877961000,4518.313350134510,4978.4344352574300,5127.717242943270,5094.112329301900,3127.8905978446100,1728.023754180260,2313.220583596930,2524.9424826312300,2177.7990147596400,1631.431690879510,2137.909393390840
Antigua and Barbuda,,,,,,,,,,,,,,,,,,1246.6901596426100,1416.5405313111600,1760.8313244800300,2124.618526481420,2392.686957944680,2660.558091435560,2948.317275497550,3372.6020700552900,3899.391839683010,4703.179401184390,5463.595382688450,6454.835450917740,7076.536334906040,7347.646368643280,7602.345334144640,7745.721799616520,8136.188547274490,8771.143727468790,8406.35894515204,9030.574977622410,9491.660765594960,9940.85222769034,10260.59940541550,10872.292951575100,10367.31960681610,10401.050875903400,10797.951057183700,11446.969141718200,12557.547850076800,13995.804424384500,15622.692871023800,16044.105796313200,14160.562000733500,13048.960581619900,12746.633468202100,13272.734944729400,12910.59062559450,13501.580922336700,14285.329777309100,15198.742966411200,15383.576397985600,16679.591662454500,17376.649676500300,13992.744480449700,14900.797402215500
Arab World,,,,,,,,,304.1605183279770,322.2226974980060,354.3111494126430,398.20880167057800,461.75829033331100,569.9861155821030,1050.4884938837900,1127.6005485976100,1360.7147492746000,1521.6942081722800,1616.439790803920,2126.8009623569200,2796.5522602070500,2793.3314020493300,2536.999791739170,2318.2813591998000,2289.35136963935,2188.888005723770,2062.3781373932000,2169.5760446808200,2034.097910481660,2122.5434068217400,2892.6978605602000,2061.480923273840,2033.9227961754900,2017.8977629423800,2068.7366004939900,2196.934451753970,2371.4046397437500,2501.0001753774000,2381.9467045592400,2579.06990239738,2890.1692199389700,2768.4461108172800,2725.554627569830,2948.572988201790,3430.913519469350,4120.7588141465900,4770.610863446440,5419.599571715440,6660.069688530600,5708.709285520450,6556.987974131780,7016.136646766070,7479.254084611950,7465.455470705860,7414.312109443200,6359.900578383840,6177.227235479820,6272.949782417550,6635.38139369641,6562.969997632970,5724.286870233850,6412.389209565950
