year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
1960,1030971854,666753356,219828794,105203230,198624409,572839530,227233184
1961,1032584288,674450666,225912719,108061826,202007500,584939711,232567007
1962,1046667371,682397828,232183258,111045418,205198600,597494450,238121604
1963,1072042214,690411692,238612680,114101578,208253700,610498308,243893375
1964,1097049797,698355574,245147710,117271192,211262900,623943328,249873656
1965,1123110704,706070460,251760583,120541198,214031100,637823175,256059849
1966,1152593187,712830312,258440584,123908187,216659000,652144171,262454482
1967,1181214550,719406020,265187879,127444919,219176000,666908586,269072404
1968,1210933821,725725300,272006857,131026902,221503000,682102192,275937546
1969,1242448013,731903738,278898334,134704201,223759000,697706091,283080501
1970,1274871399,737524825,285867424,138473057,226431000,713711358,290526233
1971,1309171954,743140589,292913867,142307871,229677632,730107660,298284475
1972,1340715058,749283635,300028905,146213398,232168663,746911710,306359650
1973,1371312193,755259488,307224818,150292311,234454577,764174968,314761504
1974,1400473157,761029417,314508488,154509840,236715369,781966557,323500333
1975,1426917696,766625562,321883714,158917282,239169275,800335570,332583481
1976,1451172534,772129341,329348136,163532333,241538008,819292532,342018937
1977,1473728221,777422111,336897935,168361040,244018243,838819900,351808760
1978,1496200846,782653852,344553109,173447050,246601803,858901743,361939456
1979,1519083033,787910910,352320721,178866336,249310344,879510842,372404237
1980,1541515841,793299463,360211832,184628581,251795337,900620583,383188215
1981,1564773439,798559755,368220724,190731389,254340965,922226632,394281992
1982,1590355395,803342746,376337306,197157155,256836391,944315173,405688898
1983,1615935307,807903880,384527729,203834175,259214381,966836458,417425712
1984,1640266860,812662217,392750803,210648804,261488476,989728262,429521914
1985,1665186778,817497806,400974913,217572797,263823014,1012942302,441988004
1986,1691568632,822470047,409183996,224549836,266290660,1036437878,454835677
1987,1719432813,827505281,417376183,231570125,268793450,1060208544,468053103
1988,1747555306,832553390,425549887,238565130,271349094,1084281159,481594337
1989,1775056912,837438555,433708712,245453236,274154622,1108702366,495407422
1990,1801855611,841536999,441855797,254215127,277373464,1133495194,509451875
1991,1827761841,845399658,449968703,261046286,281077441,1158655616,523726960
1992,1851991427,848878429,458041493,265656639,284943859,1184133340,538246439
1993,1875316687,851973886,466082322,272107854,288662674,1209847774,553020385
1994,1898499439,854082087,474089591,278384977,292185983,1235693864,568072070
1995,1921206384,855490982,482060085,286096967,295640057,1261587780,583413287
1996,1943722394,856856802,490002410,292041169,299064347,1287476203,599067774
1997,1965715373,858163120,497889881,297891711,302623445,1313346375,615054341
1998,1986871715,859296518,505687097,303641719,306070116,1339202700,631400703
1999,2006642337,860311870,513366691,309436718,309502571,1365067953,648148338
2000,2025467562,861270071,520903474,315326781,312909974,1390946065,665327588
2001,2043572497,862339994,528283130,321297196,316052361,1416822995,682956023
2002,2060728598,863908064,535509387,327362274,319048184,1442644044,701066197
2003,2077048228,866189044,542599527,333608806,321815286,1468324423,719716165
2004,2092818375,868783653,549590680,340143477,324809693,1493757846,738983247
2005,2108424288,871433207,556504216,347029862,327824506,1518861546,758924664
2006,2123929469,874134287,563337657,354302465,331015609,1543610686,779566846
2007,2138883614,877278821,570091479,361929175,334185120,1568003175,800908567
2008,2154124876,880911644,576783743,369823227,337406357,1592010815,822945490
2009,2168990055,884448855,583430021,377883960,340466060,1615610187,845655209
2010,2183746241,887904313,589932530,385917928,343397156,1638792927,869025115
2011,2199397246,890136603,596538052,393942668,345987373,1661532158,893045863
2012,2217050964,893755804,603094656,401968363,348656682,1683740452,914475776
2013,2234560278,898022522,609595811,409968633,351207902,1705761545,939758021
2014,2251683949,902367876,615999056,417924350,353888902,1727632022,965646908
2015,2268042163,906669764,622301041,425821771,356507139,1749417067,992115680
2016,2284198865,910870489,628493594,433616042,359245796,1771187426,1019153687
2017,2300568081,914608311,634566052,441298977,361731237,1792883164,1046749916
2018,2314911113,918031055,640483827,448974232,363967201,1814455018,1074866715
2019,2327536911,920807612,646431661,456709496,365995094,1835776769,1103460753
2020,2337933859,922976036,652365260,464542370,369602177,1856882402,1132500348
2021,2345135350,923753699,658089208,472494995,370203720,1877902324,1161962525
