year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
1961,0.00459131,0.05032810,0.03131958,0.02205806,0.01773957,0.04494099,0.02207150
1962,0.00602833,0.07888148,0.44485153,-0.03692700,0.05465471,0.04492064,0.05707387
1963,0.08919424,0.09217794,-0.00787972,0.09347408,0.04058319,0.10084660,0.11615901
1964,0.12060634,0.09350464,0.07910063,0.07421584,0.06009046,0.12018827,-0.04167437
1965,0.08953178,0.07698203,0.05895761,0.39057694,0.07169889,0.05059637,0.08610959
1966,0.08880422,0.10392386,0.07252649,0.02781733,0.08425739,-0.17757685,0.05342019
1967,0.07945402,0.06709290,-0.00562074,0.03866120,0.04639186,0.07581548,-0.02449734
1968,0.07465124,0.03695362,0.04643451,0.31286614,0.08226036,0.02475941,0.04370249
1969,0.12225015,0.09672980,0.08972523,0.07647228,0.07259970,0.07474337,0.11303467
1970,0.12961143,0.41960183,0.10006868,-0.02178873,0.04408988,0.05832529,0.14587635
1971,0.09958193,0.11927352,0.08859241,0.15160300,0.07325628,0.03977939,-0.00568366
1972,0.21229374,0.18830097,0.09805542,0.17902405,0.08949811,-0.01730322,0.09506168
1973,0.28778675,0.26009803,0.29894689,0.31739147,0.10726781,0.11740969,0.24421373
1974,0.12516768,0.12150374,0.26739126,0.81657560,0.08522764,0.18386007,0.26229347
1975,0.07425836,0.16001373,0.02475835,0.16469083,0.07857329,0.04580742,0.07175685
1976,0.07933550,0.03193798,0.07189337,0.22848200,0.10805961,-0.04657140,0.05423847
1977,0.17373649,0.12566847,0.07406328,0.12932567,0.09142657,0.13099471,0.06752674
1978,0.24338516,0.21231253,0.10866263,0.03625073,0.10893613,0.11124717,0.07305989
1979,0.06703467,0.21514974,0.16036202,0.27294256,0.10464832,0.09378540,0.16592621
1980,0.06179732,0.16656529,0.18881476,0.26223250,0.08009640,0.17835841,0.27273770
1981,0.08599633,-0.11585192,0.11770348,0.00227668,0.11081446,0.03525014,0.36927180
1982,-0.03565497,-0.04206686,-0.09296660,-0.03401819,0.03088976,-0.00354721,-0.10687242
1983,0.04645160,-0.03536996,-0.14265129,-0.02092980,0.07679557,0.03391750,-0.14454276
1984,0.05433295,-0.04393552,-0.02071670,-0.01324965,0.09565597,-0.02767401,-0.14894080
1985,0.04619846,0.02873484,-0.02559371,-0.00597812,0.06126007,0.06248866,-0.10311297
1986,0.28817160,0.35666676,-0.01927109,-0.00538798,0.04410822,0.03509042,0.00564572
1987,0.15077399,0.25122408,0.03307714,-0.10650213,0.05654342,0.08546194,0.10532269
1988,0.18386310,0.20327076,0.09573740,-0.07387612,0.07626291,0.05067341,0.04235131
1989,0.02058186,0.00742457,0.07060907,0.00930144,0.06951848,-0.01306321,-0.00947881
1990,0.02743860,0.24741930,0.17085291,0.33952105,0.04420222,0.05302683,0.14233935
1991,0.11312349,0.03091857,0.05431794,-0.43474293,0.01863424,-0.12964977,0.02007574
1992,0.07483077,0.06777198,0.07262979,0.07372274,0.03659763,0.03917910,-0.11060020
1993,0.10735638,-0.08479817,0.14038723,0.12532242,0.03195438,-0.03049630,-0.08521198
1994,0.12047033,0.04313394,0.15412091,0.03628571,0.04501859,0.11068432,-0.05304798
1995,0.12372678,0.16181019,0.06823005,0.26982656,0.03587376,0.08714767,0.12769449
1996,-0.05045879,0.01901383,0.06478234,0.10743845,0.04352313,0.07203234,0.01658172
1997,-0.05770563,-0.05328709,0.07901632,0.03140689,0.04853794,0.02837137,0.01108075
1998,-0.11588734,0.02532396,-0.00665691,-0.04069630,0.03846575,-0.00557440,-0.05727589
1999,0.10729752,-0.01216804,-0.11111232,0.06533726,0.05140059,0.05114818,-0.01625845
2000,0.07174376,-0.05830295,0.08833250,0.09971845,0.05492851,0.03405631,0.03614182
2001,-0.07761762,0.00872040,-0.03496733,-0.02352681,0.01934817,0.00578142,-0.06502014
2002,0.00751510,0.09350718,-0.11280867,-0.02364294,0.02289903,0.03659489,0.05891343
2003,0.09351556,0.21271679,0.00711036,0.08812082,0.04756397,0.14689573,0.22767983
2004,0.11419366,0.16194164,0.13742527,0.15850344,0.06232624,0.13966190,0.21092444
2005,0.05859309,0.06063287,0.19398010,0.17952373,0.06325729,0.12663013,0.15650067
2006,0.05302183,0.07970362,0.15784393,0.14782164,0.05471279,0.12024291,0.14764823
2007,0.11182756,0.16454167,0.16426868,0.15616870,0.04342582,0.23803458,0.12790835
2008,0.14924248,0.09535214,0.14902854,0.22022548,0.01405541,0.00016254,0.11854708
2009,0.02468554,-0.12391090,-0.07105907,-0.11601504,-0.03753914,0.08600472,-0.06401914
2010,0.16012191,0.01861744,0.22613385,0.14400364,0.04232667,0.20683642,0.15227162
2011,0.15333843,0.10605157,0.12643998,0.10571564,0.03575300,0.08859911,0.09597401
2012,0.06248662,-0.04043411,-0.00050276,0.05563042,0.03166317,-0.00208564,0.01398323
2013,0.00278167,0.04039219,0.01373300,-0.03617153,0.02607729,0.01263090,0.03538365
2014,0.02341076,0.00919887,0.00914457,-0.01455852,0.02780815,0.08147137,0.00793295
2015,-0.01099239,-0.14261278,-0.21222798,-0.13643681,0.01348525,0.03143897,-0.12292049
2016,0.02838662,-0.00750440,-0.03233240,-0.00922193,0.01550926,0.09960226,-0.09313788
2017,0.06012438,0.05563116,0.10042548,0.02218309,0.03760742,0.12647060,0.05541967
2018,0.08329869,0.06721703,-0.03114439,0.03144353,0.04669732,0.01709708,-0.00974677
2019,0.01536653,-0.01514246,-0.02300940,-0.02173682,0.03298211,0.02240732,0.00683946
2020,-0.00310378,-0.03994756,-0.16423373,-0.11852188,-0.03442933,-0.05641289,-0.07269415
2021,0.13379508,0.12990460,0.08988343,-0.12590096,0.10677399,0.15327192,0.09600256
